Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
baseline,EEG,tiny,1.0,1.0,low,edge,1.3520295178859892e-05,1.0,216.501710839331,3.777031222149253,1.0,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.2844280419916897e-05,1.3520295178859892e-05,1.0,267.76540899911976,216.50171083933103,3.727031222149253,3.777031222149253,1.3856703433749502,817.7337214888826,0.0029271670372759255,199.81887907685373,6.078475064398026,0.0,0.38103659455461264,0.0663816433046135,0.17943770638504022,0.15087640750344192,L1_Device
baseline,EEG,tiny,1.0,1.0,high,edge,1.4342122949939896e-05,1.0,220.07801893548745,3.7163510921019074,1.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.1873652986878346e-05,1.4342122949939898e-05,0.9225,272.471077546694,220.07801893548745,3.6663510921019076,3.7163510921019074,1.3631529466281704,817.887186018523,0.003156386006151962,211.96481981549994,6.078475064398026,0.0,0.4147049349535954,0.06638176669733577,0.1709246605591971,0.16923501783191208,L1_Device
baseline,EEG,base,0.5,1.0,low,edge,1.6722671273421093e-05,1.0,178.40124096481244,3.9708142867309375,0.5,0.0,1.0,20.0,1.0,0.5,1.0,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.2415949969839011e-05,1.6722671273421093e-05,1.0,236.28748709258917,178.40124096481244,3.8408142867309376,3.9708142867309375,1.6816026524118826,708.3981963936059,0.0029833453074249432,247.14737251080342,12.852303041370083,0.0,0.3438548267662155,0.14035629436765,0.20662426824258795,0.22241350677668337,L1_Device
baseline,EEG,base,0.5,1.0,high,edge,1.887191966209331e-05,1.0,180.2959368568341,3.7957920341176665,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.2210619159414043e-05,1.8871919662093312e-05,0.9225,238.99419550976296,180.2959368568341,3.6657920341176666,3.7957920341176665,1.6639310082634762,684.3658809049526,0.0034025304357640216,278.91150178467564,12.852303041370083,0.0,0.3759462419865198,0.14035659270580572,0.18206973192441395,0.2704250428371804,L1_Device
baseline,EEG,base,1.0,1.0,high,edge,1.3181441606033611e-05,1.0,250.1371159058726,3.963677927021009,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.2061449835586312e-05,1.3181441606033615e-05,0.9225,263.48568433985844,250.1371159058726,3.833677927021009,3.963677927021009,1.199342204428754,991.462965044803,0.003297167786814922,194.81090105584107,7.60285607680915,0.0,0.44349537112709925,0.0830288144270067,0.20562308124458845,0.1433068401064284,L1_Device
baseline,Resp,tiny,0.5,1.0,low,edge,0.1879908828883743,1.0,67.12492453819874,3.598179481326652,0.5,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,0.12628314668703478,0.1879908828883743,1.0,96.65165096106917,67.12492453819874,3.548179481326652,3.598179481326652,4.469278767371711,241.52752615894659,12.61887382775148,276.13785102170783,8.398790362061725,0.0,0.22024592229692458,0.11456475620739572,0.1543459166267349,0.2662326649357659,L5_Analytics
baseline,Resp,tiny,0.5,1.0,high,edge,0.2037798430419578,0.991825,66.97332146585578,3.6042117875889166,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,0.11929359776897057,0.20377984304195781,0.9225,96.38093118902816,66.97332146585578,3.5542117875889168,3.6042117875889166,4.479395577729343,241.3860346812192,13.647812936310673,299.3300902393234,8.398790362061725,0.0,0.2502475198373595,0.11647935147276661,0.15519221177485196,0.3012877744248252,L5_Analytics
baseline,Resp,tiny,1.0,1.0,low,edge,0.1339373848246186,1.0,84.95508199799399,3.569150966825827,1.0,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,0.12724051558338764,0.1339373848246186,1.0,94.67773947104472,84.95508199799399,3.519150966825827,3.569150966825827,3.531277858187269,303.21751304990767,11.378661510372348,196.73923037479875,7.234586967245282,0.0,0.24388791529835518,0.09560474440128587,0.15027339611616813,0.1462215131905039,L1_Device
baseline,Resp,tiny,1.0,1.0,high,edge,0.1436272014114096,0.991825,83.75284096400242,3.5875254579844977,1.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,0.11890705127741971,0.1436272014114096,0.9225,93.09584337368739,83.75284096400242,3.537525457984498,3.5875254579844977,3.5819680448683786,300.4654491368856,12.029186157914532,210.97250109495263,7.234586967245282,0.0,0.27261116164604016,0.09678232247476726,0.1528512232424163,0.16773512637811888,L1_Device
baseline,Resp,tiny,2.0,1.0,low,edge,0.0957117191817197,1.0,122.77734099930268,3.658167905194633,2.0,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,0.12858897077759143,0.09571171918171968,1.0,94.63563879250232,122.77734099930268,3.6081679051946334,3.658167905194633,2.4434476065229647,449.14012832878626,11.751230383603497,140.58994801426994,7.602290497554187,0.0,0.2869973808684897,0.09537193840800115,0.16276192036650552,0.06135177627500105,L1_Device
baseline,Resp,tiny,2.0,1.0,high,edge,0.1029880021141173,0.991825,119.3138082345686,3.519946668852399,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,0.12057923998598605,0.10298800211411731,0.9225,91.64983468497293,119.3138082345686,3.469946668852399,3.519946668852399,2.5143778782939012,419.97824184336366,12.287890734705138,151.27800427267513,7.602290497554187,0.0,0.3134929675012751,0.09626271480820517,0.14337033834174667,0.07750679170270669,L1_Device
baseline,Resp,base,0.5,1.0,low,edge,0.17540142439783,1.0,75.62197732496917,3.703754189413522,0.5,0.0,1.0,20.0,1.0,0.5,1.0,1.05,1.0,0.1,0.6,0.02,0.0,1.0,0.1302289134525594,0.17540142439783,1.0,89.4599676070988,75.62197732496917,3.5737541894135223,3.703754189413522,3.9671007108266236,280.08521532908895,13.264202538579992,257.645326492366,7.461124346226766,0.0,0.2319433376415284,0.10299632279296035,0.16915739325495374,0.23828118228579345,L5_Analytics
baseline,Resp,base,0.5,1.0,high,edge,0.188488342777205,0.991825,73.4759557402994,3.77957151659205,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,0.12195682319825263,0.18848834277720503,0.9225,86.39422248614198,73.4759557402994,3.64957151659205,3.77957151659205,4.082968325860903,277.70762947041374,13.849361131460299,276.86856467420336,7.461124346226766,0.0,0.2592939506715416,0.10454709165276135,0.17979409393704107,0.2673371398790015,L5_Analytics
baseline,Resp,base,1.0,1.0,low,edge,0.1182559455997414,1.0,94.0163929794123,3.6112312455118634,1.0,0.0,1.0,20.0,1.0,0.5,1.0,1.05,1.0,0.1,0.6,0.02,0.0,1.0,0.12416874287972847,0.1182559455997414,1.0,90.01821442156923,94.0163929794123,3.4812312455118635,3.6112312455118634,3.190932884073674,339.5149359175759,11.11799745365729,173.70492753014258,12.699955713192356,0.0,0.25483834022101226,0.15349117470320603,0.1561769981773201,0.11140512480096623,L1_Device
baseline,Resp,base,1.0,1.0,high,edge,0.1332743983191254,0.991825,92.837820592065,3.576749173574421,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,0.12195042983449383,0.1332743983191254,0.9225,88.70868954673888,92.837820592065,3.446749173574421,3.576749173574421,3.231441648315056,332.05759807911886,12.372904680666373,195.76537639810357,12.699955713192356,0.0,0.2836627354270923,0.1553496562464286,0.15133937738869577,0.14474953122881926,L1_Device
baseline,Resp,base,2.0,1.0,low,edge,0.0854993171171994,1.0,127.45914290378283,3.596773686342573,2.0,0.0,1.0,20.0,1.0,0.5,1.0,1.05,1.0,0.1,0.6,0.02,0.0,1.0,0.12696000853282058,0.08549931711719938,1.0,88.04549454137143,127.45914290378283,3.4667736863425733,3.596773686342573,2.3536954130192598,458.44169128010384,10.897669678616962,125.58905692562723,14.584339530523959,0.0,0.2919830904963663,0.17035633986269136,0.15414869231110037,0.038677903579413725,L1_Device
baseline,Resp,base,2.0,1.0,high,edge,0.0979688278218511,0.991825,128.76573705917147,3.633286334818013,2.0,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,0.1267767209108752,0.09796882782185112,0.9225,89.05056696859346,128.7657370591715,3.503286334818013,3.633286334818013,2.329812315384344,467.8427928498572,12.615028323303727,143.90539140084368,14.584339530523959,0.0,0.3235847386618034,0.17199066768670318,0.1592711903916383,0.06636307465936936,L1_Device
