Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
baseline,uUS,tiny,0.5,0.25,high,edge+cloud,3.932923364198425,0.2453999999999999,49.716244301,5.253276478930011,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.2903225806451613,2.5490306626816075,3.932923364198426,0.230625,214.40142657518248,49.716244301,4.656768817609312,5.25327647893001,6.034245028318958,261.17317680718145,195.53017879159975,393.08392704684115,11.851853905488529,100.0,0.49209498111683264,0.5981294154369583,0.8865457582523071,0.742996860100806,L3_Connectivity
baseline,uUS,tiny,0.5,0.5,high,edge,3.727772086255969,0.4907999999999999,93.58271662446982,3.870080808218668,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.1764705882352942,1.8549157591585503,3.7277720862559693,0.46125,287.7954165159636,93.58271662446982,3.635791245922541,3.870080808218668,3.205720145994956,362.1726755893268,348.85503878870105,372.57967041514996,16.24312779906141,0.0,0.4643990856726018,0.6437325593218011,0.1924919860918669,0.4120046409161333,L2_Edge
baseline,uUS,tiny,0.5,1.0,high,edge+cloud,2.962101980242572,0.9816,193.2598416289585,5.055258581213206,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.0,2.4771817951519983,2.962101980242572,0.9225,263.1530534729321,193.2598416289585,4.825258581213205,5.055258581213205,1.5523142183670677,976.9784727986975,572.4553595905038,296.05323340549853,8.289049471320586,100.0,0.388682837391397,0.5009795422370923,0.8587650755760342,0.5963347996813406,L3_Connectivity
baseline,uUS,tiny,2.0,0.25,high,edge+cloud,1.9636832836803204,0.2453999999999999,113.09798673008642,5.286733783610142,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.2903225806451613,2.545429157080267,1.9636832836803206,0.230625,311.5890637512417,113.09798673008642,4.687891891730365,5.286733783610141,2.6525671117025618,597.9189473042393,222.08862595976942,196.26427091152257,12.471128694427946,100.0,0.5765057666193406,0.3870287429179924,0.8912396105517157,0.44550361114440196,L3_Connectivity
baseline,uUS,base,0.5,0.5,low,edge+cloud,2.8159570534366094,0.51125,116.37556731349908,5.257179722602602,0.5,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,1.05,1.0,0.1,1.1,0.2,0.3,1.1764705882352942,2.934979732045401,2.8159570534366085,0.51125,250.60743591151288,116.37556731349908,4.696837831050097,5.257179722602602,2.5778606878181143,611.8072726869015,327.70859962413454,281.4464850844389,14.772743574916003,100.0,0.4706655684406445,0.5222788408052427,0.8870933591264034,0.5742566744572373,L3_Connectivity
baseline,uUS,base,0.5,0.5,high,edge+cloud,3.231951168120559,0.4907999999999999,115.05768391691498,5.633143137991964,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,1.1,0.2,0.3,1.1764705882352942,2.539260652713146,3.231951168120559,0.46125,247.41256707130904,115.05768391691498,5.054898226659013,5.633143137991963,2.6073877883430616,648.1364026298179,371.86081593651943,323.02385262657725,14.772743574916003,100.0,0.48872520350629567,0.5750258744374646,0.9398386940746455,0.6371009370478662,L3_Connectivity
baseline,uUS,base,1.0,0.25,low,edge+cloud,2.24619584479989,0.255625,79.05384807083954,5.220272507966346,1.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,1.05,1.0,0.1,1.1,0.2,0.3,1.2903225806451613,3.018731409918927,2.24619584479989,0.255625,257.77111442278846,79.05384807083954,4.546067449271019,5.220272507966345,3.7948816828141285,412.6826297331519,177.57042505216157,224.50055641249233,8.657587224845443,100.0,0.5266806931520263,0.37113714102610695,0.881915505861133,0.488182805271074,L3_Connectivity
baseline,uUS,base,1.0,0.25,high,edge+cloud,2.440662209304295,0.2453999999999999,78.32341330034873,5.447699792412943,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,1.1,0.2,0.3,1.2903225806451613,2.4725662904716716,2.440662209304295,0.230625,254.9206372696536,78.32341330034873,4.757627713872505,5.447699792412942,3.8302722948192076,426.68244237738287,191.16099494588252,243.93688790416724,8.657587224845443,100.0,0.5354840416715482,0.39484243513606765,0.9138221430590149,0.5175608537688148,L3_Connectivity
baseline,uUS,base,1.0,0.5,low,edge+cloud,2.010005472294311,0.51125,158.71492177694736,5.500201536393595,1.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,1.05,1.0,0.1,1.1,0.2,0.3,1.1764705882352942,2.9627248291043298,2.0100054722943104,0.51125,284.3217985891656,158.71492177694736,4.92828717751771,5.500201536393595,1.8901814438191888,872.9640566061552,319.0178613064276,200.89403511581511,12.194978235673304,100.0,0.5147853324803638,0.4023198941722189,0.9211878120530537,0.4525015077065731,L3_Connectivity
baseline,uUS,base,1.0,0.5,high,edge+cloud,2.255125202176444,0.4907999999999999,160.60468701048302,5.487965524389208,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,1.1,0.2,0.3,1.1764705882352942,2.5056946690849378,2.255125202176444,0.46125,288.0091453863084,160.60468701048302,4.916633832751627,5.487965524389208,1.867940504005455,881.39298536885,362.18367726500003,225.39301897495466,12.194978235673304,100.0,0.5361849178715683,0.4357178407557561,0.9194711754730457,0.48953176397007886,L3_Connectivity
