Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
baseline,PPG,tiny,2.0,0.5,high,edge,2.3132215204657216,0.4703499999999999,104.65073315688775,3.6474849656777306,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.1764705882352942,2.302088729381584,2.313221520465721,0.46125,158.01850544290994,104.65073315688775,3.4237952054073624,3.6474849656777306,2.8666784354989017,381.7119758369001,242.08032807102836,199.65240230431166,23.30031145181517,0.0,0.47717597201491246,0.5472989152919135,0.1612631702222467,0.15062477757525392,L2_Edge
baseline,PPG,tiny,2.0,0.5,high,edge+cloud,2.22556226757064,0.4703499999999999,106.50837920035052,4.864253013870813,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.1764705882352942,3.1640733603904843,2.2255622675706404,0.46125,145.53833338575956,106.50837920035053,4.402621917972202,4.864253013870812,2.816679797893429,518.0837045278004,237.04102992840575,192.0865983941092,23.4900145258478,100.0,0.47926651964867145,0.5388318629963544,0.8319681793513847,0.4391890519449554,L3_Connectivity
baseline,PPG,tiny,2.0,1.0,low,edge,1.6661915995919778,1.0,206.15464522758467,3.4529056785673844,2.0,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.238533219772342,1.666191599591978,1.0,166.51262519619368,206.15464522758467,3.4029056785673846,3.4529056785673844,1.4552182400198388,711.8325451693717,343.49313809506606,143.8077385216561,15.470378391463324,0.0,0.37102349045497673,0.4027326610893548,0.13396490328317107,0.06621547216442601,L2_Edge
baseline,PPG,tiny,2.0,1.0,low,edge+cloud,1.4292812624911055,1.0,215.6934335441191,4.604447274926331,2.0,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,1.1,0.2,0.3,1.0,2.7432049979537543,1.4292812624911055,1.0,157.738080579081,215.6934335441191,4.374447274926331,4.60444727492633,1.3908629255449094,993.1490423017227,308.2865830069799,123.36018625982575,25.651648510260337,100.0,0.38025628090110725,0.48251901761305305,0.7955190458421831,0.3353089617323808,L3_Connectivity
baseline,PPG,tiny,2.0,1.0,high,edge,1.923957744775632,0.9407,204.9964018063544,3.289581986078281,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.2525863000346233,1.9239577447756324,0.9225,165.51413948823657,204.9964018063544,3.239581986078281,3.289581986078281,1.4634403206910371,674.3524705930487,394.404414906473,166.05533982716244,15.470378391463324,0.0,0.40011855317438355,0.43859938442641144,0.11105160238020981,0.09984275982370037,L2_Edge
baseline,PPG,tiny,2.0,1.0,high,edge+cloud,1.7959154681683351,0.9407,212.37209468790823,4.621721952757457,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.0,3.0038189995161186,1.7959154681683354,0.9225,155.15338108008422,212.37209468790823,4.3917219527574565,4.621721952757456,1.4126149692164853,981.5247721721905,381.40232985732473,155.0041076407987,25.651648510260337,100.0,0.4072659437804067,0.5336289821635355,0.7979425759810985,0.38313880335589423,L3_Connectivity
baseline,PPG,base,0.5,0.25,low,edge,3.639043193697426,0.255625,28.3872014588257,3.5891021904790987,0.5,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,1.05,1.0,0.1,0.6,0.02,0.0,1.2903225806451613,2.420734204711741,3.639043193697426,0.255625,87.926865479004,28.3872014588257,3.2086997120735803,3.5891021904790987,10.568142845469845,101.88456693744278,103.30225225685732,314.08306955598897,21.11850188903921,0.0,0.42742937392921626,0.6538158791015551,0.15307242903039273,0.32358692805043654,L2_Edge
baseline,PPG,base,0.5,0.25,low,edge+cloud,3.5702000260693185,0.255625,30.00254616741491,5.204078376207304,0.5,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,1.05,1.0,0.1,1.1,0.2,0.3,1.2903225806451613,3.392769889049398,3.570200026069319,0.255625,82.43658747837532,30.00254616741491,4.531003140657958,5.204078376207304,9.999151349555234,156.13560174100527,107.11509110905065,308.1412677537894,17.663204023767996,100.0,0.4333499214377413,0.6088553524387376,0.8796435696331307,0.6146058844011373,L3_Connectivity
baseline,PPG,base,0.5,0.25,high,edge,4.4075545993013705,0.2351749999999999,28.14001857378106,3.622233376357399,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.2903225806451613,2.2101462379041252,4.40755459930137,0.230625,86.51439185017747,28.14001857378106,3.239519419867348,3.622233376357399,10.66097377346863,101.92971448926689,124.02866828929467,380.4127085333228,21.11850188903921,0.0,0.43622658312319845,0.7430400500738734,0.1577205288849321,0.4238442915116637,L2_Edge
baseline,PPG,base,0.5,0.25,high,edge+cloud,4.20081174073056,0.2351749999999999,30.2308464922047,5.266029638435138,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,1.1,0.2,0.3,1.2903225806451613,3.009251520232614,4.200811740730561,0.230625,83.54349814402279,30.2308464922047,4.588632221800129,5.266029638435138,9.92363876007765,159.1965336229329,126.99409487667681,362.56888855856647,17.663204023767996,100.0,0.44389657053384535,0.6824574095637337,0.8883349474186245,0.6968733269123059,L3_Connectivity
