Scenario,Modality,Model,fs_factor,duty,motion,network,Error,Coverage,Energy_mWh_day,Latency_p95_s
Baseline,ECG,base,0.5,1.0,low,edge+cloud,2.085313528992273,1.0,160.31439427129183,4.539531778887655
Baseline,ECG,base,0.5,1.0,high,edge,2.3809647056644017,0.9713749999999999,153.30934744931074,3.2699999368926917
Baseline,ECG,base,0.5,1.0,high,edge+cloud,2.217236168050267,0.9713749999999999,159.13909333655587,4.526476736772159
Baseline,ECG,base,1.0,0.25,low,edge,1.8577826670411106,0.255625,52.357622799157156,3.4604813877714253
Baseline,ECG,base,1.0,0.25,low,edge+cloud,1.8471885694802737,0.255625,54.032998784769234,4.835851265418734
Baseline,ECG,base,1.0,0.25,high,edge,2.0975862882082144,0.24284374999999997,51.68332991494443,3.5569559874969494
Baseline,ECG,base,1.0,0.25,high,edge+cloud,2.1259343516519684,0.24284374999999997,53.79890958369119,4.793765810544503
Baseline,ECG,base,1.0,0.5,low,edge,1.6716509356001616,0.51125,102.86834379284753,3.424232182112113
Baseline,ECG,base,1.0,0.5,low,edge+cloud,1.6834251077626146,0.51125,108.63223687063508,4.790564732267306
Baseline,ECG,base,1.0,0.5,high,edge,1.994096180726852,0.48568749999999994,103.70038045555378,3.416747385166775
Baseline,ECG,base,1.0,0.5,high,edge+cloud,1.932187301096997,0.48568749999999994,107.70930145659014,4.704824519199642
Baseline,ECG,base,1.0,1.0,low,edge,1.4753257598117957,1.0,208.12303101613264,3.180079268969856
Baseline,ECG,base,1.0,1.0,low,edge+cloud,1.4398164262966122,1.0,215.34112626031606,4.484670306840342
Baseline,ECG,base,1.0,1.0,high,edge,1.639947630411123,0.9713749999999999,207.75335496991212,3.1898380250775493
Baseline,ECG,base,1.0,1.0,high,edge+cloud,1.6685225498743412,0.9713749999999999,211.86197468866405,4.650931070361486
Baseline,ECG,base,2.0,0.25,low,edge,1.3131016595349445,0.255625,78.956113660661,3.4820204525241025
Baseline,ECG,base,2.0,0.25,low,edge+cloud,1.3040175907390639,0.255625,78.9354851668472,4.91821125709321
Baseline,ECG,base,2.0,0.25,high,edge,1.5366548725670033,0.24284374999999997,79.45646209982826,3.6034801098219384
Baseline,ECG,base,2.0,0.25,high,edge+cloud,1.4745447326261931,0.24284374999999997,79.24469703732896,4.629906541601763
Baseline,ECG,base,2.0,0.5,low,edge,1.2207213146646476,0.51125,157.42408323797198,3.4649985464165405
Baseline,ECG,base,2.0,0.5,low,edge+cloud,1.1650519562385782,0.51125,160.45225966250158,4.781992779699662
Baseline,ECG,base,2.0,0.5,high,edge,1.39053944856204,0.48568749999999994,158.9631139805475,3.41019054130209
Baseline,ECG,base,2.0,0.5,high,edge+cloud,1.2777066330696263,0.48568749999999994,160.71825852118766,4.932357456183799
Baseline,ECG,base,2.0,1.0,low,edge,1.027534628266256,1.0,317.9866533011352,3.311112516860006
Baseline,ECG,base,2.0,1.0,low,edge+cloud,1.0235270358931925,1.0,322.9919429551472,4.450757042318459
Baseline,ECG,base,2.0,1.0,high,edge,1.155662801502098,0.9713749999999999,320.3429158635157,3.240170528294775
Baseline,ECG,base,2.0,1.0,high,edge+cloud,1.187283184771711,0.9713749999999999,320.52089614056524,4.504494172942022
Baseline,ECG,large,0.5,0.25,low,edge,2.185584589989817,0.255625,49.02537239581679,3.601204738289645
Baseline,ECG,large,0.5,0.25,low,edge+cloud,2.1642287941550586,0.255625,50.76680398371704,5.020539193780471
Baseline,ECG,large,0.5,0.25,high,edge,2.4500362057751417,0.24284374999999997,48.98583446143279,3.704001927192777
Baseline,ECG,large,0.5,0.25,high,edge+cloud,2.4160882799206025,0.24284374999999997,51.10802118507793,4.933389650324307
Baseline,ECG,large,0.5,0.5,low,edge,2.1049133526797257,0.51125,99.52086944596941,3.691626072465671
